state_name,fem_15_19_pregnant,fem_below24_married_before18,deaths_last_3years,pop_f_6_sch,oral_cancer,alcohol_men_15,men_bp_sev,tobaco_men_15,tobaco_women_15,alcohol_women_15,breast_cancer,cerv_cancer,men_bp_mild,men_bp_ele_med,sex_ratio_tot_pop,pop_below_15
Andaman And Nicobar Islands,1.8,11.4,83.2,78,5.4,64.5,11.1,76.8,63.5,29.6,13.2,13.4,32.9,47,973,23
Andaman And Nicobar Islands,3.8,8.3,0,77.2,0,0,0,0,0,0,0,0,0,0,957,25.4
Andaman And Nicobar Islands,3.8,15.4,92.6,82.7,15.8,45.3,6,70.5,46.8,5.1,0.3,1.7,22.6,32.2,950,19.8
Andaman And Nicobar Islands,6.5,24.7,0,83.8,0,0,0,0,0,0,0,0,0,0,951,22.6
Andaman And Nicobar Islands,2.8,17.1,92.2,84.7,8,32.8,6.1,50.8,19.6,1.7,0.7,1.3,17.9,26.9,967,21
Andaman And Nicobar Islands,3.9,14.1,0,85.8,0,0,0,0,0,0,0,0,0,0,989,24.2
Andhra Pradesh,13.6,37.3,87.2,59.5,4,16.8,7.7,20.5,5,0.6,0.4,1,16.2,26.7,1047,24.3
Andhra Pradesh,5.2,29,0,56.9,0,0,0,0,0,0,0,0,0,0,1000,24
Andhra Pradesh,6.2,26,68.2,75.4,4.8,25.9,7.3,25.5,3.2,0.7,1,1.9,17.3,32.2,995,20.5
Andhra Pradesh,12.8,31.6,0,69,0,0,0,0,0,0,0,0,0,0,927,21.8
Andhra Pradesh,19.7,28.1,74.3,65.6,4,18.3,5.9,18.7,4.3,0.4,0.3,2.2,16.8,27.1,1024,22.6
Andhra Pradesh,14.7,26.6,0,65,0,0,0,0,0,0,0,0,0,0,1079,23.4
Andhra Pradesh,20.7,35.4,82.5,64.9,14.6,24.5,8.5,25.4,1.6,0.2,0.2,6.5,18,31.3,1055,22.4
Andhra Pradesh,13.6,38.9,0,60.3,0,0,0,0,0,0,0,0,0,0,1015,23
Andhra Pradesh,9.6,25.3,86.3,74,12.3,22.8,5.1,21.3,1.4,0.4,2.1,5.4,18.6,28.5,1064,20.4
Andhra Pradesh,8.9,31.4,0,71.3,0,0,0,0,0,0,0,0,0,0,1037,22.1
Andhra Pradesh,12.4,36.9,77.9,55.2,2.9,20,7.4,19.9,2.1,0.4,0.2,2.3,22.2,31.8,1045,25.9
Andhra Pradesh,12.9,43.5,0,56.6,0,0,0,0,0,0,0,0,0,0,1021,29.4
Andhra Pradesh,16.4,37.3,88.9,58.1,10,19,8.3,28.2,2.2,0.3,0.2,4.1,19.8,33,1011,23.1
Andhra Pradesh,17.1,46.1,0,53.5,0,0,0,0,0,0,0,0,0,0,1016,25
Andhra Pradesh,14.9,23.8,84.8,67.9,6.7,25.9,5.9,26.5,4.4,0.3,0.8,10.2,15.3,25.1,1049,20.8
Andhra Pradesh,11.8,38.7,0,60.6,0,0,0,0,0,0,0,0,0,0,1039,22.9
Andhra Pradesh,5.5,25.4,71,60,3.8,28.3,5.5,21.3,7.1,0.6,0.2,1,14.4,22.9,1140,20.7
